倉庫毎の実在庫,商品ID,商品名,在庫しきい値,カテゴリー名,販売可能数,引当済 (全倉庫),安全在庫数,未引当,安全在庫設定値,実在庫数,倉庫ID,倉庫,実在庫 (倉庫毎),引当済 (倉庫毎),SKUコード,セット区分,セット構成品商品ID,セット構成品名,構成品数
11,71032-00000127,bdr-3001-1-20,1,老眼鏡,11,0,0,0,0,11,61144,自社倉庫,11,0,bdr-3001-1-20,0,,,
0,71032-00000128,bdr-3001-2-20,1,老眼鏡,18,0,0,0,0,18,999,RFC倉庫,0,0,bdr-3001-2-20,0,,,
18,71032-00000128,bdr-3001-2-20,1,老眼鏡,18,0,0,0,0,18,61144,自社倉庫,18,0,bdr-3001-2-20,0,,,
0,71032-00000129,bdr-3002-1-05,1,老眼鏡,0,0,0,0,0,0,999,RFC倉庫,0,0,bdr-3002-1-05,0,,,
0,71032-00000129,bdr-3002-1-05,1,老眼鏡,0,0,0,0,0,0,61144,自社倉庫,0,0,bdr-3002-1-05,0,,,
0,71032-00000130,bdr-3002-2-05,1,老眼鏡,0,0,0,0,0,0,999,RFC倉庫,0,0,bdr-3002-2-05,0,,,
0,71032-00000130,bdr-3002-2-05,1,老眼鏡,0,0,0,0,0,0,61144,自社倉庫,0,0,bdr-3002-2-05,0,,,
0,71032-00000131,bdr-3002-1-075,1,老眼鏡,0,0,0,0,0,0,999,RFC倉庫,0,0,bdr-3002-1-075,0,,,
0,71032-00000131,bdr-3002-1-075,1,老眼鏡,0,0,0,0,0,0,61144,自社倉庫,0,0,bdr-3002-1-075,0,,,
0,71032-00000132,bdr-3002-2-075,1,老眼鏡,0,0,0,0,0,0,999,RFC倉庫,0,0,bdr-3002-2-075,0,,,
0,71032-00000132,bdr-3002-2-075,1,老眼鏡,0,0,0,0,0,0,61144,自社倉庫,0,0,bdr-3002-2-075,0,,,
0,71032-00000133,bdr-3002-1-10,1,老眼鏡,15,0,0,0,0,15,999,RFC倉庫,0,0,bdr-3002-1-10,0,,,
15,71032-00000133,bdr-3002-1-10,1,老眼鏡,15,0,0,0,0,15,61144,自社倉庫,15,0,bdr-3002-1-10,0,,,
