"ブランド","品番","カラーNo","ｻｲｽﾞ","品名","カラー名","OEM区分","倉庫ｺｰﾄﾞ","倉庫名","ﾛｹｰｼｮﾝ","可能在庫数","出荷残数","ｷｰﾌﾟ残数","現在庫数","原単価","原価額","預かり区分","年月度","前月在庫数","入荷数","出荷数","入庫数","出庫数","振替数(+)","振替数(-)","調整数","棚卸差異","未入庫数"
"ﾏｻｷﾏﾂｼﾏF","MF1314","4","57","ＭＦ－１３１４","ｼﾙﾊﾞｰ/ﾈｲﾋﾞｰ","プロパー","1","物流部倉庫","002E010","5.00","1.00","7.00","13.00","6122.00","79586","自社","2026/09","16.00","0.00","3.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00"
"ﾏｻｷﾏﾂｼﾏF","MF1315","1","57","ＭＦ－１３１５","ﾚｯﾄﾞﾌﾞﾗｳﾝ･ﾌﾞﾗｯｸ/ﾚｯﾄﾞ,ﾌﾞﾗｯｸｸﾞﾗﾃﾞｰｼｮﾝ","プロパー","1","物流部倉庫","002E010","82.00","1.00","9.00","92.00","5941.00","546572","自社","2026/09","93.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1315","2","57","ＭＦ－１３１５","ﾏｯﾄﾌﾞﾗｯｸ･ｶﾞﾝﾒﾀﾙ/ｶﾞﾝﾒﾀﾙ","プロパー","1","物流部倉庫","002E010","231.00","1.00","9.00","241.00","5731.00","1381171","自社","2026/09","252.00","0.00","10.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1315","3","57","ＭＦ－１３１５","ﾌﾞﾗｯｸ･ﾍｱﾗｲﾝｸﾞﾚｰ/ﾍｱﾗｲﾝｸﾞﾚｰ","プロパー","1","物流部倉庫","002E010","160.00","0.00","7.00","167.00","5801.00","968767","自社","2026/09","168.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1315","4","57","ＭＦ－１３１５","ﾎﾜｲﾄ･ｼﾙﾊﾞｰ/ﾎﾜｲﾄﾊﾟｰﾙ","プロパー","1","物流部倉庫","002E010","0.00","0.00","4.00","4.00","5516.00","22064","自社","2026/09","4.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1316","1","58","ＭＦ－１３１６","ﾍｱﾗｲﾝｼｬﾝﾊﾟﾝ･ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","002E010","0.00","0.00","3.00","3.00","7394.00","22182","自社","2026/09","4.00","0.00","2.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1316","2","58","ＭＦ－１３１６","IPｸﾞﾚｰ","プロパー","1","物流部倉庫","002E010","0.00","0.00","2.00","2.00","7084.00","14168","自社","2026/09","3.00","0.00","2.00","1.00","0.00","0.00","0.00","0.00","0.00","2.00"
"ﾏｻｷﾏﾂｼﾏF","MF1316","3","58","ＭＦ－１３１６","ﾌﾞﾗｯｸ･ｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","002E010","52.00","0.00","5.00","57.00","7514.00","428298","自社","2026/09","64.00","0.00","8.00","1.00","0.00","0.00","0.00","0.00","0.00","1.00"
"ﾏｻｷﾏﾂｼﾏF","MF1317","1","57","ＭＦ－１３１７","ｼﾙﾊﾞｰ･ﾈｲﾋﾞｰ","プロパー","1","物流部倉庫","002E010","4.00","1.00","3.00","8.00","6876.00","55008","自社","2026/09","12.00","0.00","4.00","1.00","1.00","0.00","0.00","0.00","0.00","1.00"
"ﾏｻｷﾏﾂｼﾏF","MF1317","2","57","ＭＦ－１３１７","ﾍｱﾗｲﾝﾗｲﾄｸﾞﾚｰ","プロパー","1","物流部倉庫","002E010","56.00","0.00","0.00","56.00","6635.00","371560","自社","2026/09","55.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","2.00"
"ﾏｻｷﾏﾂｼﾏF","MF1317","3","57","ＭＦ－１３１７","ﾌﾞﾗｳﾝ･ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","002E010","110.00","1.00","2.00","113.00","6876.00","776988","自社","2026/09","115.00","0.00","2.00","1.00","1.00","0.00","0.00","0.00","0.00","1.00"
"ﾏｻｷﾏﾂｼﾏF","MF1317","4","57","ＭＦ－１３１７","ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","002E010","131.00","2.00","2.00","135.00","6983.00","942705","自社","2026/09","138.00","0.00","4.00","1.00","0.00","0.00","0.00","0.00","0.00","2.00"
"ﾏｻｷﾏﾂｼﾏF","MF1318","1","57","ＭＦ－１３１８","ｼｬﾝﾊﾟﾝ･ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","002E010","0.00","2.00","2.00","4.00","5816.00","23264","自社","2026/09","9.00","0.00","6.00","1.00","0.00","0.00","0.00","0.00","0.00","1.00"
"ﾏｻｷﾏﾂｼﾏF","MF1318","2","57","ＭＦ－１３１８","ｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","002E010","27.00","5.00","4.00","36.00","5167.00","186012","自社","2026/09","39.00","0.00","4.00","1.00","0.00","0.00","0.00","0.00","0.00","2.00"
"ﾏｻｷﾏﾂｼﾏF","MF1318","3","57","ＭＦ－１３１８","ｸﾞﾚｰ","プロパー","1","物流部倉庫","002E010","102.00","4.00","4.00","110.00","5167.00","568370","自社","2026/09","115.00","0.00","6.00","1.00","0.00","0.00","0.00","0.00","0.00","2.00"
"ﾏｻｷﾏﾂｼﾏF","MF1318","4","57","ＭＦ－１３１８","ﾌﾞﾗｯｸ/ﾚｯﾄﾞ･ﾌﾞﾗｯｸｸﾞﾗﾃﾞｰｼｮﾝ","プロパー","1","物流部倉庫","002E010","121.00","2.00","2.00","125.00","5727.00","715875","自社","2026/09","128.00","0.00","3.00","1.00","1.00","0.00","0.00","0.00","0.00","1.00"
"ﾏｻｷﾏﾂｼﾏF","MF1319","1","57","ＭＦ－１３１９","ﾎﾜｲﾄｺﾞｰﾙﾄﾞ/ﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","002E010","72.00","0.00","0.00","72.00","5668.00","408096","自社","2026/09","74.00","0.00","2.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00"
"ﾏｻｷﾏﾂｼﾏF","MF1319","2","57","ＭＦ－１３１９","ｸﾞﾚｰ","プロパー","1","物流部倉庫","002E010","146.00","2.00","0.00","148.00","5138.00","760424","自社","2026/09","160.00","0.00","13.00","1.00","0.00","0.00","0.00","0.00","0.00","2.00"
"ﾏｻｷﾏﾂｼﾏF","MF1319","3","57","ＭＦ－１３１９","ﾏｯﾄﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","002E010","171.00","0.00","0.00","171.00","5558.00","950418","自社","2026/09","181.00","0.00","10.00","1.00","1.00","0.00","0.00","0.00","0.00","1.00"
"ﾏｻｷﾏﾂｼﾏF","MF1320","1","57","ＭＦ－１３２０","ｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","002E010","108.00","1.00","2.00","111.00","5233.00","580863","自社","2026/09","112.00","0.00","2.00","1.00","0.00","0.00","0.00","0.00","0.00","1.00"
"ﾏｻｷﾏﾂｼﾏF","MF1320","2","57","ＭＦ－１３２０","ｸﾞﾚｰ","プロパー","1","物流部倉庫","002E010","177.00","2.00","0.00","179.00","5163.00","924177","自社","2026/09","183.00","0.00","5.00","1.00","0.00","0.00","0.00","0.00","0.00","1.00"
"ﾏｻｷﾏﾂｼﾏF","MF1320","3","57","ＭＦ－１３２０","ﾌﾞﾗｯｸ/ﾌﾞﾗｯｸｸﾞﾗﾃﾞｰｼｮﾝ","プロパー","1","物流部倉庫","002E010","233.00","0.00","3.00","236.00","5663.00","1336468","自社","2026/09","240.00","0.00","3.00","1.00","2.00","0.00","0.00","0.00","0.00","2.00"
"ﾏｻｷﾏﾂｼﾏF","MF1320","4","57","ＭＦ－１３２０","ﾎﾜｲﾄ/ｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","002E010","31.00","1.00","6.00","38.00","5147.00","195586","自社","2026/09","41.00","0.00","2.00","1.00","2.00","0.00","0.00","0.00","0.00","2.00"
"ﾏｻｷﾏﾂｼﾏF","MFP554","1","58","ＭＦＰ－５５４","ﾒﾀﾘｯｸﾌﾞﾗｯｸ","プロパー","1","物流部倉庫","002E010","3.00","0.00","0.00","3.00","7340.00","22020","自社","2026/09","3.00","0","0","0","0","0","0","0","0","0.00"
"ﾏｻｷﾏﾂｼﾏF","MFP554","2","58","ＭＦＰ－５５４","ｱﾝﾃｨｰｸｼﾙﾊﾞｰ","プロパー","1","物流部倉庫","002E010","3.00","0.00","0.00","3.00","7410.00","22230","自社","2026/09","3.00","0","0","0","0","0","0","0","0","0.00"
